reach_id,river_name,node_count,node_id
45241600251,Keshaliya River,32,4.52416E+13
45241600261,Keshaliya River,54,4.52416E+13
45241600271,Keshaliya River,55,4.52416E+13
45241600284,Keshaliya River,2,4.52416E+13
45241600291,Keshaliya River,39,4.52416E+13
45241600306,Keshaliya River,1,4.52416E+13
45241600381,NODATA,11,4.52416E+13
45241600391,Mai Khola,79,4.52416E+13
45241600401,Mai Khola,57,4.52416E+13
45241600414,Mai Khola,2,4.52416E+13
45241600421,Mai Khola,84,4.52416E+13
45241600431,Mai Khola,51,4.52416E+13
45241600441,Mai Khola,90,4.52416E+13
45241600454,Mai Khola,2,4.52416E+13
45241600461,Mai Khola,12,4.52416E+13
45241600476,Mai Khola,1,4.52416E+13
45241600541,Bakra Khola,41,4.52416E+13
45241600551,Bakra Khola,52,4.52416E+13
45241600561,Bakra Khola,52,4.52416E+13
45241600571,Bakra Khola,75,4.52416E+13
45241600586,Bakra Khola,1,4.52416E+13
45241600621,NODATA,25,4.52416E+13
45241600631,NODATA,54,4.52416E+13
45241600641,NODATA,53,4.52416E+13
45241600656,NODATA,1,4.52416E+13
45241600691,NODATA,74,4.52416E+13
45241600706,NODATA,1,4.52416E+13
45241600911,NODATA,19,4.52416E+13
45241600921,NODATA,94,4.52416E+13
45241600931,Ratua Khola River,53,4.52416E+13
45241600941,Ratua Khola River,52,4.52416E+13
45241600956,Ratua Khola River,1,4.52416E+13
45241600991,Mechi River,2,4.52416E+13
45241601001,Mechi River,33,4.52416E+13
45241601011,Mechi River,49,4.52416E+13
45241601021,Mechi River,44,4.52416E+13
45241601031,Mechi River,33,4.52416E+13
45241601041,Mechi River,23,4.52416E+13
45241601056,Mechi River,1,4.52416E+13
45241601061,NODATA,44,4.52416E+13
45241601071,NODATA,58,4.52416E+13
45241601081,NODATA,66,4.52416E+13
45241601096,NODATA,1,4.52416E+13
45241601101,Mawa Khola River,68,4.52416E+13
45241601116,Mawa Khola River,1,4.52416E+13
45241601261,Biring-Tangting,46,4.52416E+13
45241601271,Biring-Tangting,99,4.52416E+13
45241601286,Biring-Tangting,1,4.52416E+13
45242200251,Bagmati,70,4.52422E+13
45242200261,Bagmati,96,4.52422E+13
45242200271,Bagmati,50,4.52422E+13
45242200281,Bagmati,50,4.52422E+13
45242200294,Bagmati,2,4.52422E+13
45242200301,Bagmati,93,4.52422E+13
45242200316,Bagmati,1,4.52422E+13
45242200341,Bakaiya River,9,4.52422E+13
45242200351,Bakaiya River,97,4.52422E+13
45242200361,Bakaiya River,97,4.52422E+13
45242200371,Bakaiya River,96,4.52422E+13
45242200386,Bakaiya River,1,4.52422E+13
45242200391,Bagmati,60,4.52422E+13
45242200406,Bagmati,1,4.52422E+13
45242500111,NODATA,27,4.52425E+13
45242500121,NODATA,44,4.52425E+13
45242500134,NODATA,2,4.52425E+13
45242500141,NODATA,8,4.52425E+13
45242500151,Koshi River,57,4.52425E+13
45242500161,Koshi River,55,4.52425E+13
45242500171,Koshi River,89,4.52425E+13
45242500181,Koshi River,49,4.52425E+13
45242500191,Tamor Nadi,5,4.52425E+13
45242500211,Tamor Nadi,87,4.52425E+13
45242500221,Tamor Nadi,53,4.52425E+13
45242500231,Tamor Nadi,53,4.52425E+13
45242500241,Tamor Nadi,50,4.52425E+13
45242500251,Tamor Nadi,50,4.52425E+13
45242500261,Tamor Nadi,95,4.52425E+13
45242500271,Tamor Nadi,51,4.52425E+13
45242500281,Tamor Nadi,51,4.52425E+13
45242500291,Tamor Nadi,50,4.52425E+13
45242500301,Tamor Nadi,50,4.52425E+13
45242500311,Tamor Nadi,97,4.52425E+13
45242500326,Tamor Nadi,1,4.52425E+13
45242500331,Triyuga,37,4.52425E+13
45242500341,Triyuga,45,4.52425E+13
45242500351,Triyuga,45,4.52425E+13
45242500361,Triyuga,45,4.52425E+13
45242500374,Triyuga,2,4.52425E+13
45242500381,Triyuga,53,4.52425E+13
45242500391,Triyuga,53,4.52425E+13
45242500401,Triyuga,53,4.52425E+13
45242500411,Triyuga,52,4.52425E+13
45242500426,Triyuga,1,4.52425E+13
45242500581,Triyuga,64,4.52425E+13
45242500591,NODATA,64,4.52425E+13
45242500604,NODATA,2,4.52425E+13
45242500611,NODATA,59,4.52425E+13
