SN,lake_id,lake_name,npass,pass_full,pass_part,p_lon,p_lat
1,4520281302,AMBULAPCHA GLACIER;IMJA GLACIER;IMJA TSHO,1,523,no_data,86.924745,27.898478
2,4520305372,BEGNAS TAL,1,273,no_data,84.099966,28.174079
3,4520292702,BHAIRAB KUND,1,8,no_data,85.407606,28.080211
4,4520292652,BIG BLUE LAKE,2,245;286,no_data,85.825395,28.051452
5,4520280032,CHAMLANG CHO,2,523;564,no_data,86.958938,27.754948
6,4520305382,DIPANG LAKE,1,273,no_data,84.069798,28.180733
7,4520280612,DONAG TSHO,2,245;286,no_data,86.681162,27.975422
8,4520280282,DUDH KUND,1,286,no_data,86.59919,27.710813
9,4520280642,DUDH POKHARI,2,245;286,no_data,86.690224,27.951133
10,4520304402,DUDH POKHARI LAKE,1,273,no_data,84.252669,28.45394
11,4520281042,GANGA SAGAR,1,286,no_data,85.930245,26.728487
12,4520304352,GANGAPURNA TAL,1,273,no_data,84.017083,28.663401
13,4520313582,GHODA GHODI TAAL,2,301;342,no_data,80.947706,28.688424
14,4520292692,GOSAIN KUND,2,008;551,no_data,85.413675,28.082799
15,4520305022,ICE LAKE,2,273;314,no_data,84.061199,28.679676
16,4520280382,IMJA TSHO,1,523,no_data,86.909231,27.900345
17,4520292753,INDRA SAROVAR,2,551,8,85.155963,27.604376
18,4520110132,JAGDISHPUR RESERVOIR,1,273,no_data,83.098624,27.620956
19,4520314502,JAKHAUR TAAL,2,023;342,no_data,80.62311,28.706743
20,4520329272,KALO DAHA (KUNDA),2,008;551,no_data,85.120246,28.274532
21,4520141752,KANTI POND,2,301;342,no_data,81.651666,28.057795
22,4520280842,LOWER BARUN GLACIER,2,564,523,87.093112,27.797922
23,4520281342,LUMDING GLACIER;LUMDING TSHO,2,245;286,no_data,86.612007,27.779821
24,4520313502,MAHADEV TAL,2,023;342,no_data,80.709935,28.743712
25,4520305282,MULA TAL,1,273,no_data,83.489891,28.867413
26,4520310942,MULI TAL,1,273,no_data,83.527427,28.886109
27,4520330532,NAMLYO LAKE,1,8,no_data,84.457419,28.657582
28,4520292502,NAU KUND,1,8,no_data,85.389064,28.060785
29,4520280232,NGOZUMPA TSHO,2,245;286,no_data,86.68225,28.005854
30,4520279492,PANCH POKHARI,1,286,no_data,86.421895,27.731561
31,4520304732,PHEWA LAKE;PHEWA TAL,1,no_data,273,83.927067,28.219453
32,4520304742,PHEWA LAKE;PHEWA TAL,2,273,314,83.945781,28.216055
33,4520305362,PHEWA TAL,1,no_data,314,83.932666,28.221991
34,4520311282,PHOKSUNDO LAKE,1,no_data,314,82.948215,29.19691
35,4520330672,PONKAR LAKE,1,8,no_data,84.471593,28.662951
36,4520313442,RARA DAHA,1,301,no_data,82.091244,29.530292
37,4520305342,RUPA TAL,1,273,no_data,84.112293,28.152212
38,4520295092,SARASWATI KUND,1,8,no_data,85.399493,28.079827
39,4520279302,TABOCHE TSHO,2,245;286,no_data,86.698991,27.941284
40,4520295162,TAUDAHA LAKE,1,8,no_data,85.281998,27.648729
41,4520330802,THULAGI GLACIER,2,008;551,no_data,84.493126,28.480621
42,4520304332,TILICHO LAKE,2,314,273,83.851794,28.691408
43,4520280252,TRAKARDING GLACIER;TSHO ROLPA,2,245;286,no_data,86.476452,27.861107
